Pair: BPOP and CBU, Profit: 1389.6569840072414
Pair: HTBK and KRNY, Profit: 1387.9352785215765
Pair: COLB and FIBK, Profit: 1379.6147037290339
Pair: SFNC and TRMK, Profit: 1377.6123922148804
Pair: HOPE and PFC, Profit: 1374.1424049163359
Pair: UCB and WSFS, Profit: 1373.6955473192536
Pair: CADE and SBCF, Profit: 1373.5080807846402
Pair: RNST and UCB, Profit: 1367.4461598573323
Pair: BEKE and FUTU, Profit: 1360.6124545062728
Pair: PB and SBCF, Profit: 1357.7811788556417
Pair: CATY and GBCI, Profit: 1356.6005494289434
Pair: BHP and RIO, Profit: 1355.3342479344503
Pair: FBMS and WSFS, Profit: 1347.8317289942086
Pair: HTLF and UMBF, Profit: 1345.9264104433
Pair: CBU and UCB, Profit: 1343.2162005827652
Pair: AUB and FBMS, Profit: 1340.424004381186
Pair: BUSE and WSBC, Profit: 1337.4644647817358
Pair: INDB and ONB, Profit: 1334.9526482914625
Pair: SBCF and VBTX, Profit: 1333.9983201377106
Pair: FIBK and WSFS, Profit: 1333.581896435296
Pair: BEKE and BILI, Profit: 1332.6579041610842
Pair: AUB and HTLF, Profit: 1331.4164015845377
Pair: UBSI and VBTX, Profit: 1328.736547826542
Pair: ONB and TRMK, Profit: 1326.7180800440894
Pair: ABCB and TRMK, Profit: 1326.067327503755
Pair: CBU and FFBC, Profit: 1324.3160861179367
Pair: CBU and HOPE, Profit: 1320.3859818442356
Pair: BUSE and STEL, Profit: 1314.0505248302345
Pair: CATY and UCB, Profit: 1310.640957331108
Pair: UBSI and WSBC, Profit: 1310.0088118505564
Pair: CBU and SFNC, Profit: 1308.5046670274503
Pair: AUB and PB, Profit: 1307.9791792901
Pair: CATY and TRMK, Profit: 1306.6821117989628
Pair: HOMB and OCFC, Profit: 1304.1420369120103
Pair: FULT and PFS, Profit: 1303.93208406212
Pair: STEL and UBSI, Profit: 1301.5652243833567
Pair: BPOP and UMBF, Profit: 1301.3345012686495
Pair: FFBC and RNST, Profit: 1301.0974878991224
Pair: OCFC and SFNC, Profit: 1300.642485278306
Pair: CATY and FBMS, Profit: 1300.071627780652
Pair: AUB and FFBC, Profit: 1299.1470246156837
Pair: CBU and FBMS, Profit: 1295.401395943344
Pair: UCB and VBTX, Profit: 1291.8106620292854
Pair: PFC and UBSI, Profit: 1285.8052422110895
Pair: AUB and NTB, Profit: 1285.463346828432
Pair: AUB and SBCF, Profit: 1283.503863083606
Pair: CBU and FNB, Profit: 1281.238042666756
Pair: HOMB and INDB, Profit: 1280.4029898492374
Pair: FFBC and STBA, Profit: 1279.6258548855417
Pair: CATY and FIBK, Profit: 1278.8977410784353
Pair: FFBC and WSFS, Profit: 1276.5703352448168
Pair: BUSE and ONB, Profit: 1275.4486462594193
Pair: FIBK and NTB, Profit: 1275.0587183185664
Pair: HOMB and STEL, Profit: 1273.6518794627302
Pair: CFR and WBS, Profit: 1272.228785919179
Pair: FFBC and WSBC, Profit: 1271.86259564644
Pair: FBMS and SFNC, Profit: 1265.8644970812236
Pair: AUB and RNST, Profit: 1252.4720932822684
Pair: AUB and UCB, Profit: 1251.7265699684503
Pair: FFBC and OCFC, Profit: 1247.9980217310904
Pair: NTB and OCFC, Profit: 1245.8999835945347
Pair: FCF and VLY, Profit: 1242.739982495592
Pair: SSB and UMBF, Profit: 1238.632221199419
Pair: FBMS and FIBK, Profit: 1237.9629923704708
Pair: FIBK and UBSI, Profit: 1234.4489612289135
Pair: CBU and HOMB, Profit: 1233.026788477167
Pair: ABCB and GBCI, Profit: 1229.6483834430937
Pair: CATY and FFBC, Profit: 1228.8996248829158
Pair: FULT and UCB, Profit: 1223.2650207759648
Pair: BUSE and RNST, Profit: 1221.0205445287959
Pair: ABCB and FBMS, Profit: 1219.8498821127014
Pair: BUSE and OCFC, Profit: 1210.0060342733887
Pair: FULT and WSBC, Profit: 1207.6388844331407
Pair: ONB and UCB, Profit: 1206.1493892174842
Pair: RNST and UBSI, Profit: 1205.8726509248377
Pair: FULT and SBCF, Profit: 1204.0360250570711
Pair: BUSE and FBMS, Profit: 1202.5569434859317
Pair: HOMB and TRMK, Profit: 1189.1546247072886
Pair: HOMB and WSFS, Profit: 1186.6792039339816
Pair: FFBC and UCB, Profit: 1182.7941534130944
Pair: PFS and WSBC, Profit: 1177.2436439449407
Pair: FCF and INDB, Profit: 1176.881927261175
Pair: NVDA and TSM, Profit: 1173.9121418750467
Pair: FFBC and VBTX, Profit: 1171.9012253454266
Pair: CLDT and DRH, Profit: 1170.5951254692295
Pair: FIBK and SBCF, Profit: 1170.5809485080415
Pair: FBMS and FFBC, Profit: 1169.5500448159291
Pair: CFR and SSB, Profit: 1168.5124826328263
Pair: CATY and VBTX, Profit: 1168.204765683479
Pair: UMBF and WBS, Profit: 1165.8121218309198
Pair: FBMS and PB, Profit: 1164.343289874317
Pair: FCF and PFC, Profit: 1162.2359077397464
Pair: FIBK and WAFD, Profit: 1160.494950518847
Pair: AUB and FIBK, Profit: 1159.6416127733821
Pair: BUSE and VBTX, Profit: 1158.7978605209266
Pair: ASB and SBCF, Profit: 1158.4717040780224
Pair: HOMB and SBCF, Profit: 1156.8699825659387
Pair: AUB and WAFD, Profit: 1156.8292802698543
Pair: UMBF and WAFD, Profit: 1156.5388218080927
Pair: FCF and NTB, Profit: 1155.498485606617
Pair: BECN and GTES, Profit: 1154.752714227659
Pair: COLB and FNB, Profit: 1154.0493355282779
Pair: HOPE and STEL, Profit: 1152.2312243553556
Pair: ALLE and WMS, Profit: 1150.0378840810206
Pair: FFBC and UBSI, Profit: 1148.1535505198922
Pair: FCF and OCFC, Profit: 1144.9648041844046
Pair: HTBK and WSBC, Profit: 1144.2376837481254
Pair: TMHC and TPH, Profit: 1136.343483661881
Pair: BUSE and HOMB, Profit: 1135.0544569339056
Pair: HOMB and TCBI, Profit: 1134.4032813399394
Pair: FFBC and PB, Profit: 1134.3964760412962
Pair: FIBK and HTLF, Profit: 1133.976346556395
Pair: HOMB and NFBK, Profit: 1129.8179283403529
Pair: BABA and PDD, Profit: 1119.1380008782262
Pair: OCFC and UCB, Profit: 1119.0933625450918
Pair: ASB and FFBC, Profit: 1118.6379342738219
Pair: PB and UCB, Profit: 1118.5130011941235
Pair: AUB and CADE, Profit: 1116.9243476864797
Pair: ONB and WSFS, Profit: 1116.6678345804144
Pair: HOPE and WSBC, Profit: 1114.2269665363826
Pair: CBU and FCF, Profit: 1113.4785476445102
Pair: EWBC and ZION, Profit: 1113.0686688601984
Pair: FIBK and PB, Profit: 1112.7456190566304
Pair: KRNY and NWBI, Profit: 1111.4466890285769
Pair: ASB and COLB, Profit: 1111.0766271675961
Pair: ABCB and SSB, Profit: 1109.559474456978
Pair: HOPE and TRMK, Profit: 1108.6313612164754
Pair: PB and UBSI, Profit: 1106.9228128351106
Pair: HOPE and KRNY, Profit: 1106.3978323771448
Pair: SFNC and VBTX, Profit: 1106.0259288885456
Pair: BP and SHEL, Profit: 1100.7781070321632
Pair: AX and FIBK, Profit: 1099.6629776092545
Pair: AUB and BPOP, Profit: 1097.3567764745678
Pair: CBU and UBSI, Profit: 1097.2893867859627
Pair: PFS and SFNC, Profit: 1095.9050063256161
Pair: ONB and VLY, Profit: 1094.428002888126
Pair: FULT and VBTX, Profit: 1091.8319448242357
Pair: SBCF and SFNC, Profit: 1090.7887084170166
Pair: COLB and EWBC, Profit: 1088.8008282829587
Pair: HOPE and OCFC, Profit: 1088.68740069828
Pair: BUSE and FFBC, Profit: 1086.389014455168
Pair: PSX and VLO, Profit: 1082.1951401962644
Pair: FHB and ONB, Profit: 1080.808276437647
Pair: AUB and VBTX, Profit: 1080.439427153821
Pair: ABCB and WAFD, Profit: 1079.2701422321907
Pair: CBSH and PB, Profit: 1079.1101898651957
