('HOMB', 'PB', 0.6375413001822982)
('HOMB', 'PFS', 0.625726570774038)
('HOMB', 'PPBI', 0.6480211602648176)
('HOMB', 'SFNC', 0.6724535222121281)
('HOMB', 'SNV', 0.629084945378169)
('HOMB', 'SSB', 0.6645000763757951)
('HOMB', 'UBSI', 0.7189536795798015)
('HONE', 'UBSI', 0.6258108424671589)
('HOPE', 'SFNC', 0.6152432794213724)
('HOPE', 'UBSI', 0.6112266949226061)
('HTH', 'MSBI', 0.6256765809428694)
('HTLF', 'UMBF', 0.6397670272198657)
('IBTX', 'PFS', 0.6246630071790854)
('IBOC', 'SFNC', 0.6158260143101393)
('IBOC', 'UBSI', 0.6316636900126051)
('JBGS', 'KRG', 0.6006584638801697)
('KMT', 'MWA', 0.6320952809717042)
('KMT', 'SFNC', 0.6008818578743844)
('LBRDK', 'LBRDA', 0.7191333153078553)
('LBTYA', 'LBTYK', 0.7076354823279244)
('LILA', 'LILAK', 0.604138614757551)
('LLYVK', 'LLYVA', 0.6543265770569451)
('MARA', 'RIOT', 0.739705547502609)
('MLM', 'VMC', 0.6599416205725624)
('MLR', 'NSIT', 0.6035004823246104)
('MPC', 'VLO', 0.6170989525112961)
('MWA', 'PH', 0.602728893628937)
('MWA', 'REZI', 0.6137427057964074)
('NMCO', 'NMZ', 0.6158630622872985)
('NVDA', 'TSM', 0.6336501987111942)
('OCFC', 'SFNC', 0.6158803831285679)
('OCFC', 'UBSI', 0.6149615459654275)
('PB', 'SFNC', 0.6543236265732357)
('PB', 'SSB', 0.642815695425836)
('PB', 'UBSI', 0.673317692657651)
('PFS', 'PPBI', 0.6469920159721889)
('PFS', 'SFNC', 0.6436174215078441)
('PFS', 'SSB', 0.6030366050073063)
('PFS', 'UBSI', 0.688919448937428)
('PPBI', 'SFNC', 0.7251282136507166)
('PPBI', 'SSB', 0.6485418057481652)
('PPBI', 'UBSI', 0.7154843015473977)
('PPBI', 'WSFS', 0.6392717033192249)
('REZI', 'UBSI', 0.6176259130179093)
('SFNC', 'SSB', 0.7121660455964904)
('SFNC', 'TRMK', 0.6086778215196184)
('SFNC', 'UBSI', 0.7722914323955026)
('SFNC', 'UMBF', 0.6056505213606418)
('SFNC', 'VBTX', 0.6130459494540402)
('SFNC', 'WAFD', 0.6126960259655342)
('SFNC', 'WSFS', 0.698937698837815)
('SNV', 'UBSI', 0.6114131407625636)
('SSB', 'UBSI', 0.7350836017165717)
('SSB', 'WSFS', 0.6198183918766764)
('TCBI', 'UBSI', 0.6359114354288173)
('TRMK', 'UBSI', 0.6599374538064804)
('UBSI', 'UMBF', 0.6186843792151431)
('UBSI', 'VBTX', 0.6144958045081833)
('UBSI', 'WAFD', 0.6049128701513068)
('UBSI', 'WSBC', 0.6008791511575958)
('UBSI', 'WSFS', 0.6942842596643206)
('UBSI', 'WTFC', 0.6097016434943994)
('Z', 'ZG', 0.6029002277721783)
