date,Daily_Return
2021-10-11,0.0
2021-10-12,0.0
2021-10-13,0.0
2021-10-14,0.0
2021-10-15,0.0
2021-10-18,0.0
2021-10-19,0.0
2021-10-20,0.0
2021-10-21,0.0
2021-10-22,0.0
2021-10-25,0.0
2021-10-26,0.0
2021-10-27,0.0
2021-10-28,0.0
2021-10-29,0.0
2021-11-01,0.0
2021-11-02,0.0
2021-11-03,0.0
2021-11-04,0.0
2021-11-05,0.0
2021-11-08,0.0
2021-11-09,0.0
2021-11-10,0.0
2021-11-11,0.0
2021-11-12,0.0
2021-11-15,0.0
2021-11-16,0.0
2021-11-17,0.0
2021-11-18,0.0
2021-11-19,0.0
2021-11-22,0.0
2021-11-23,0.0
2021-11-24,0.0
2021-11-26,0.0
2021-11-29,0.0
2021-11-30,0.0
2021-12-01,0.0
2021-12-02,0.0
2021-12-03,0.0
2021-12-06,0.0
2021-12-07,0.0010251751718031166
2021-12-08,0.0006510597157376452
2021-12-09,6.857932745973905e-05
2021-12-10,-0.0002535109458292606
2021-12-13,-0.0005018311875676362
2021-12-14,0.00045552311769858633
2021-12-15,4.573544190988876e-05
2021-12-16,-0.0009231850576446599
2021-12-17,0.002700529177930955
2021-12-20,0.0001477147990065486
2021-12-21,0.0024199151131663044
2021-12-22,-0.000933537625731784
2021-12-23,0.0006861828010931159
2021-12-27,0.00041934780448293907
2021-12-28,0.00039996490409888175
2021-12-29,0.00036224141191421033
2021-12-30,0.0005187299979663162
2021-12-31,-0.00030349378135297034
2022-01-03,0.0025774677430314696
2022-01-04,0.0011714503930133624
2022-01-05,-3.575739113947929e-05
2022-01-06,-8.946794870479113e-05
2022-01-07,-0.0018426218701048658
2022-01-10,-0.0011680070883716143
2022-01-11,0.001309565570688953
2022-01-12,-0.00038369089624468167
2022-01-13,-0.00023523219272547635
2022-01-14,-0.0015633378483833615
2022-01-18,-0.0005462775508328077
2022-01-19,0.0024670603826277837
2022-01-20,-0.0003013202094011014
2022-01-21,0.002322885259476104
2022-01-24,0.002265788202860053
2022-01-25,-0.00271205787123896
2022-01-26,-0.0007885244219451026
2022-01-27,0.00019154110509300715
2022-01-28,0.0008769043616749794
2022-01-31,0.0037947404011333674
2022-02-01,0.000292296395802083
2022-02-02,-0.0013592543473937013
2022-02-03,-0.00032787839831782684
2022-02-04,-0.0010600447486479592
2022-02-07,0.0007069447038505761
2022-02-08,0.00040572797628057877
2022-02-09,0.001961306708964994
2022-02-10,-0.0024772271142406987
2022-02-11,0.0019382709250164165
2022-02-14,0.0015999635808183754
2022-02-15,-0.0010394000961103655
2022-02-16,0.00043390856167846437
2022-02-17,0.0007044915338605406
2022-02-18,0.0020198477924093794
2022-02-22,0.0002839991428722488
2022-02-23,-0.0014769359442377006
2022-02-24,0.0005620214665411627
2022-02-25,5.907414281147716e-05
2022-02-28,-0.0018166051222489044
2022-03-01,-0.003236283983343524
2022-03-02,0.0011533527236320396
2022-03-03,-0.00038243284984229575
2022-03-04,-0.005851986041268353
2022-03-07,-0.006395088433157281
2022-03-08,0.004572498494137323
2022-03-09,0.008881419153635273
2022-03-10,-0.002205262243588413
2022-03-11,2.847692412899505e-05
2022-03-14,0.003727570761123955
2022-03-15,0.004156580153615419
2022-03-16,0.0070912669870211165
