('HWC','WTFC',1)
('CVBF','TOWN',1)
('COLB','UBSI',1)
('FIBK','WSFS',1)
('FFIN','WSBC',1)
('UBSI','VBTX',1)
('ABCB','TRMK',1)
('CBU','FFBC',1)
('CBU','HOPE',1)
('SFNC','TCBI',1)
('CVBF','PFC',1)
('CADE','WSFS',1)
('PNR','URI',1)
('CATY','UCB',1)
('FRME','OCFC',1)
('UBSI','WSBC',1)
('CVBF','RF',1)
('BHLB','FIBK',1)
('CBU','SFNC',1)
('OZK','PB',1)
('AUB','PB',1)
('CATY','TRMK',1)
('CCS','MTH',1)
('HOMB','OCFC',1)
('FFBC','RNST',1)
('FITB','SNV',1)
('OCFC','SFNC',1)
('CATY','FBMS',1)
('BKU','VBTX',1)
('AUB','FFBC',1)
('PPBI','UCB',1)
('CBU','FBMS',1)
('CATY','PPBI',1)
('BKU','SBCF',1)
('TOWN','WAFD',1)
('UCB','VBTX',1)
('CFG','SNV',1)
('PB','TRMK',1)
('PFC','UBSI',1)
('FIBK','TCBI',1)
('AUB','SBCF',1)
('CATY','FIBK',1)
('SNV','STT',1)
('FFBC','WSFS',1)
('PB','TOWN',1)
('ABCB','HWC',1)
('FFBC','WSBC',1)
('CBU','OCFC',1)
('PPBI','WSBC',1)
('FBMS','SFNC',1)
('CVBF','TRMK',1)
('IPG','OMC',1)
('OII','PUMP',1)
('CBU','WSBC',1)
('BHLB','WAFD',1)
('AUB','UCB',1)
('OII','WHD',1)
('CADE','WAFD',1)
('CIO','EGBN',1)
('EBC','TRMK',1)
('FFBC','OCFC',1)
('COLB','SFNC',1)
('CBSH','TRMK',1)
('FBMS','FIBK',1)
('HOMB','NBHC',1)
('FFIN','PNFP',1)
('FIBK','UBSI',1)
('CBU','HOMB',1)
('ABCB','GBCI',1)
('ABCB','PB',1)
('CATY','FFBC',1)
('PB','PFC',1)
('PFS','WSFS',1)
('BANR','PB',1)
('CVBF','FRME',1)
('ASB','PPBI',1)
('PFS','TRMK',1)
('TCBI','UCB',1)
('RNST','UBSI',1)
('NBHC','TOWN',1)
('FCF','OFG',1)
('FFBC','NFBK',1)
('RNST','WSFS',1)
('HOMB','TRMK',1)
('TOWN','WSFS',1)
('CFR','TCBI',1)
('HOMB','WSFS',1)
('FFBC','UCB',1)
('BKU','SFNC',1)
('TCBI','UBSI',1)
('PFS','WSBC',1)
('OCFC','TCBI',1)
('CBU','CVBF',1)
('NVDA','TSM',1)
('AVGO','MU',1)
('FFBC','VBTX',1)
('FCF','TCBI',1)
('PB','WAFD',1)
('FIBK','SBCF',1)
('FBMS','FFBC',1)
('PNFP','TCBI',1)
('FBMS','PB',1)
('FCF','PFC',1)
('CVBF','PFS',1)
('FIBK','WAFD',1)
('BKU','FIBK',1)
('AUB','FIBK',1)
('ASB','SBCF',1)
('EBC','PFC',1)
('ASB','WSFS',1)
('HOMB','SBCF',1)
('AUB','WAFD',1)
('BKU','DCOM',1)
('HOMB','TOWN',1)
('BPOP','WAFD',1)
('ABCB','TOWN',1)
('BKU','PNFP',1)
('CATY','EBC',1)
('FFBC','UBSI',1)
('FCF','OCFC',1)
('FBIN','TPH',1)
('PB','SNV',1)
('ASB','TOWN',1)
('GBCI','OZK',1)
('TMHC','TPH',1)
('AX','PNFP',1)
('BHLB','BPOP',1)
('HOMB','TCBI',1)
('FFBC','PB',1)
('ABCB','BKU',1)
('BKU','UCB',1)
('TCBI','WSBC',1)
('FFIN','IIF',1)
('NBHC','UBSI',1)
('OCFC','UCB',1)
('ASB','FFBC',1)
('PB','UCB',1)
('FFIN','OSBC',1)
('AUB','CADE',1)
('SNV','WTFC',1)
('HOPE','WSBC',1)
('CBU','FCF',1)
('BHLB','NWBI',1)
('FIBK','PB',1)
('BHLB','EBC',1)
('ASB','COLB',1)
('ABCB','SSB',1)
('LEA','SHOO',1)
('BKU','UBSI',1)
('HOPE','TRMK',1)
('PPBI','TOWN',1)
('PB','UBSI',1)
('SFNC','VBTX',1)
('PPBI','WSFS',1)
('AX','FIBK',1)
('CBU','UBSI',1)
('PFS','SFNC',1)
('ICUI','MC',1)
('BKU','PFC',1)
('AX','SNV',1)
('HWC','PNFP',1)
('GGG','URI',1)
('SBCF','SFNC',1)
('BPOP','SSB',1)
('BANR','SNV',1)
('HOPE','OCFC',1)
('SNV','UMBF',1)
('FBIN','URI',1)
('ABCB','WAFD',1)
('CBSH','PB',1)
('GBCI','TOWN',1)
('ASB','FRME',1)
('GBCI','HWC',1)
('PFS','UCB',1)
('PB','VBTX',1)
('PFC','WAFD',1)
('OFG','PNFP',1)
('CVBF','NBHC',1)
('FIBK','TOWN',1)
('FSS','URI',1)
('ABCB','CBSH',1)
('BKU','WAFD',1)
('PB','WSBC',1)
('COLB','GBCI',1)
('VBTX','WSBC',1)
('BKU','OCFC',1)
('AVGO','NVDA',1)
('CVBF','UBSI',1)
('BPOP','CBSH',1)
('GBCI','PNFP',1)
('SNV','UCB',1)
('NBHC','SNV',1)
('WSBC','WSFS',1)
('BKU','FBMS',1)
('HWC','NBHC',1)
('FFIN','GBCI',1)
('SNV','VBTX',1)
('NFBK','TOWN',1)
('FIBK','HWC',1)
('NWBI','WSFS',1)
('FIBK','FITB',1)
('ABCB','AUB',1)
('CATY','CVBF',1)
('SBCF','SNV',1)
('SFNC','WSBC',1)
('FBMS','HWC',1)
('CBSH','FIBK',1)
('CBSH','OCFC',1)
('CFG','FITB',1)
('CATY','OCFC',1)
('PNFP','SNV',1)
('SFNC','WSFS',1)
('UCB','WAFD',1)
('ABCB','FIBK',1)
('CADE','WSBC',1)
('BANR','FIBK',1)
('SNV','TRMK',1)
('ASB','BKU',1)
('ASB','WSBC',1)
('HOPE','SFNC',1)
('BPOP','SNV',1)
('FCF','WSBC',1)
('ASB','OCFC',1)
('CATY','PFS',1)
('CBSH','PNFP',1)
('FFIN','LXP',1)
('FIBK','OZK',1)
('AUB','NFBK',1)
('CADE','PPBI',1)
('PB','WBS',1)
('HOPE','SBCF',1)
('EBC','WSBC',1)
('IBOC','TOWN',1)
('CNO','CVBF',1)
('NWBI','VBTX',1)
('AUB','WSBC',1)
('CBU','NWBI',1)
('LBTYA','LBTYK',1)
('CADE','PFC',1)
('CATY','SFNC',1)
('HOMB','WSBC',1)
('GBCI','SNV',1)
('LXP','UTI',1)
('BLX','JAZZ',1)
('BHLB','CBSH',1)
('BKU','PPBI',1)
('SNV','TOWN',1)
('HUBB','IR',1)
('HOPE','UCB',1)
('AUB','CBSH',1)
('PPBI','UBSI',1)
('PFC','SNV',1)
('HOPE','NWBI',1)
('ASB','CATY',1)
('CATY','HOMB',1)
('AORT','LXP',1)
('FBMS','HOMB',1)
('ABCB','NWBI',1)
('FIBK','WTFC',1)
('VBTX','WSFS',1)
('SNV','WAFD',1)
('CATY','HOPE',1)
('BPOP','PB',1)
('PB','WTFC',1)
('FFBC','HOMB',1)
('ASB','CBSH',1)
('BPOP','FFBC',1)
('BKU','WSBC',1)
('ABCB','WSBC',1)
('BPOP','HOPE',1)
('EQH','SNV',1)
('CADE','UBSI',1)
('HOPE','TOWN',1)
('CVBF','FITB',1)
('CVBF','PB',1)
('AUB','SFNC',1)
('PB','SFNC',1)
('EBC','UBSI',1)
('EWBC','SNV',1)
('FCF','FRME',1)
('BPOP','FIBK',1)
('AUB','HOPE',1)
('CBSH','GBCI',1)
('EQH','PNR',1)
('FFBC','PFS',1)
('NBHC','PNFP',1)
('HOPE','RNST',1)
('GBCI','PB',1)
('PPBI','RNST',1)
('PPBI','SSB',1)
('FIBK','GBCI',1)
('ALLE','URI',1)
('FCF','PFS',1)
('EBC','WSFS',1)
('SFNC','UCB',1)
('ABCB','HOPE',1)
('CVBF','WSBC',1)
('CVBF','UCB',1)
('HWC','SBCF',1)
('ASB','WTFC',1)
('CADE','CBSH',1)
('PB','PFS',1)
('DRH','XHR',1)
('CADE','RNST',1)
('EWBC','GBCI',1)
('SFNC','UBSI',1)
('BKU','GBCI',1)
('PPBI','SFNC',1)
('CFR','SNV',1)
('DMRC','IIF',1)
('CVBF','SBCF',1)
('FIBK','NBHC',1)
('FIBK','RNST',1)
('ASB','UCB',1)
('EBC','HOPE',1)
('MTG','RDN',1)
('UBSI','WSFS',1)
('CADE','PNFP',1)
('ABCB','EBC',1)
('CVBF','FBMS',1)
('NWBI','OCFC',1)
('BKU','OSBC',1)
('HTBK','SFNC',1)
('BPOP','SFNC',1)
('CVBF','PNFP',1)
('ESNT','MTG',1)
('ABCB','CADE',1)
('FBIN','MAS',1)
('FIBK','WSBC',1)
('UBSI','WAFD',1)
('BANR','FFBC',1)
('CVBF','HOPE',1)
('HOMB','UBSI',1)
('HOPE','UBSI',1)
('CVBF','VBTX',1)
('BRKL','HOPE',1)
('EXC','LNT',1)
('HOPE','NBHC',1)
('CVBF','WSFS',1)
('HWC','OCFC',1)
