('AUB', 'CBSH', 0.6020070873449949)
('AUB', 'CVBF', 0.6979846531290796)
('AUB', 'FBMS', 0.6085578934024191)
('AUB', 'FCF', 0.6936259992200414)
('AUB', 'FFBC', 0.647140548937686)
('AUB', 'FIBK', 0.6645477703476395)
('AUB', 'GBCI', 0.6511339216496473)
('AUB', 'HOMB', 0.6653423522058403)
('AUB', 'HOPE', 0.6667669872256355)
('AUB', 'NFBK', 0.6191340632323621)
('AUB', 'NWBI', 0.6453067530986069)
('AUB', 'OCFC', 0.6272230482425964)
('AUB', 'PB', 0.6494257448806036)
('AUB', 'PNFP', 0.6421972683165054)
('AUB', 'PPBI', 0.7174243641355764)
('AUB', 'SBCF', 0.669453304562104)
('AUB', 'SFNC', 0.7298453910556547)
('AUB', 'SNV', 0.6728143719094148)
('AUB', 'TCBI', 0.6225319415966546)
('AUB', 'TOWN', 0.6160705193093061)
('AUB', 'TRMK', 0.6358778897654124)
('AUB', 'UBSI', 0.6603336240823889)
('AUB', 'UCB', 0.6632015623201217)
('AUB', 'WAFD', 0.6412620684379069)
('AUB', 'WSBC', 0.6363668988355652)
('AUB', 'WSFS', 0.6291724897408757)
('AVGO', 'MU', 0.6269061283068182)
('AVGO', 'NVDA', 0.6457569359246451)
('AVGO', 'TSM', 0.6676034148585833)
('AX', 'CVBF', 0.6349536156994073)
('AX', 'FCF', 0.6182448359350275)
('AX', 'FIBK', 0.6412125966544512)
('AX', 'HOMB', 0.6092085121252788)
('AX', 'HOPE', 0.6108373032755902)
('AX', 'PNFP', 0.6237744545133518)
('AX', 'SNV', 0.6024126239112181)
('AX', 'UBSI', 0.6343048785617208)
('AXS', 'HIG', 0.6086927466206984)
('BANR', 'BKU', 0.6093218244863469)
('BANR', 'CVBF', 0.6263763844937146)
('BANR', 'FCF', 0.6312487255490773)
('BANR', 'FFBC', 0.6145719049538942)
('BANR', 'FIBK', 0.6087533067490432)
('BANR', 'HOPE', 0.604048549246546)
('BANR', 'PB', 0.6061888021484468)
('BANR', 'SNV', 0.6055058115181318)
('BC', 'PII', 0.6138483413266403)
('BHLB', 'BPOP', 0.6101764410179397)
('BHLB', 'CATY', 0.6677618613226733)
('BHLB', 'CBSH', 0.615212066526563)
('BHLB', 'CVBF', 0.6680729349432095)
('BHLB', 'EBC', 0.6161774007498836)
('BHLB', 'FCF', 0.7055942237638972)
('BHLB', 'FFBC', 0.6504019354410158)
('BHLB', 'FIBK', 0.6207191758650199)
('BHLB', 'GBCI', 0.6117452955341577)
('BHLB', 'HOMB', 0.6167780357569848)
('BHLB', 'HOPE', 0.6231531425261029)
('BHLB', 'NWBI', 0.6411657876016723)
('BHLB', 'OCFC', 0.6351493078665325)
('BHLB', 'PB', 0.6362148666986726)
('BHLB', 'PFS', 0.6037912437814078)
('BHLB', 'PNFP', 0.6551068643331716)
('BHLB', 'PPBI', 0.6100522028074971)
('BHLB', 'SBCF', 0.6057339670268879)
('BHLB', 'SFNC', 0.66093719434357)
('BHLB', 'SSB', 0.6370380190909372)
('BHLB', 'TOWN', 0.6275930592835471)
('BHLB', 'TRMK', 0.6201779242798358)
('BHLB', 'UBSI', 0.638797446997186)
('BHLB', 'UCB', 0.6962790739533854)
('BHLB', 'VBTX', 0.6200956479908267)
('BHLB', 'WAFD', 0.6386664437548315)
('BHLB', 'WSBC', 0.6516162260444469)
('BHLB', 'WSFS', 0.6139096244587243)
('BKU', 'BR', 0.7421101133789738)
