date,Daily_Return
2018-10-12,0.0
2018-10-15,0.0
2018-10-16,0.0
2018-10-17,0.0
2018-10-18,0.0
2018-10-19,0.0
2018-10-22,0.0
2018-10-23,0.0
2018-10-24,0.0
2018-10-25,0.0
2018-10-26,0.0
2018-10-29,0.0
2018-10-30,0.0
2018-10-31,0.0
2018-11-01,0.0
2018-11-02,0.0
2018-11-05,0.0
2018-11-06,0.0
2018-11-07,0.0
2018-11-08,0.0
2018-11-09,0.0
2018-11-12,0.0
2018-11-13,0.0
2018-11-14,0.0
2018-11-15,0.0
2018-11-16,0.0
2018-11-19,0.0
2018-11-20,0.0
2018-11-21,0.0
2018-11-23,0.0
2018-11-26,0.0
2018-11-27,0.0
2018-11-28,0.0
2018-11-29,0.0
2018-11-30,0.0
2018-12-03,0.0
2018-12-04,0.0
2018-12-06,0.0
2018-12-07,0.0
2018-12-10,0.0
2018-12-11,-0.0014101550028770005
2018-12-12,0.0015030634752115635
2018-12-13,2.6187826147827664e-05
2018-12-14,0.0005249946618903767
2018-12-17,0.00030940612671725987
2018-12-18,-0.00011556375571641908
2018-12-19,0.0008294136140973851
2018-12-20,-0.0017154505141898646
2018-12-21,-0.001140256467366152
2018-12-24,-0.0008143104565324633
2018-12-26,0.003740007418152169
2018-12-27,-0.000627350249078007
2018-12-28,-0.002542536258797745
2018-12-31,0.0018783517067175737
2019-01-02,0.00039079388540885773
2019-01-03,-0.0016690089891148174
2019-01-04,0.0012974332094437546
2019-01-07,-0.0007621288746665345
2019-01-08,0.0008685446671361507
2019-01-09,0.002250068646633796
2019-01-10,-0.002257792016910898
2019-01-11,-0.0013689830542504833
2019-01-14,0.0007125676289856386
2019-01-15,0.0008344895885961101
2019-01-16,-0.0008263139453008606
2019-01-17,0.0015948326363184329
2019-01-18,-0.0025107251252356466
2019-01-22,0.001967678554353869
2019-01-23,-0.0013373642346109493
2019-01-24,0.0011385416178566476
2019-01-25,0.00046480899518464014
2019-01-28,-0.0007340136120563834
2019-01-29,0.0010705966499595654
2019-01-30,0.0006429595381711728
2019-01-31,-0.0023307314467784224
2019-02-01,0.0006010096395228093
2019-02-04,0.00031616758154195956
2019-02-05,0.00011858124226504785
2019-02-06,-0.0014768423113806772
2019-02-07,-0.0007495260551024785
2019-02-08,-3.830594534681708e-05
2019-02-11,0.0016463235577457436
2019-02-12,-0.0005264228450133634
2019-02-13,0.002776182534335536
2019-02-14,-0.00202324130617082
2019-02-15,0.0003177876939097768
2019-02-19,0.0008455375939944165
2019-02-20,-1.0924785548205307e-05
2019-02-21,-0.003161425236272719
2019-02-22,0.0006902587630970292
2019-02-25,0.0006181701180627552
2019-02-26,-0.00029713305512113486
2019-02-27,-0.000775824465990671
2019-02-28,0.0006067943656102859
2019-03-01,0.00113391638681537
2019-03-04,0.00046053004477153436
2019-03-05,-0.0002773074000725906
2019-03-06,-0.0023116370507932915
2019-03-07,0.0019436028374240077
2019-03-08,-0.0011340089918577823
2019-03-11,0.0012392873030169227
2019-03-12,-0.0016110500201216293
2019-03-13,0.0038909500157797705
2019-03-14,-0.002906868009769692
2019-03-15,0.002013748311705088
2019-03-18,-0.0007627856101902752
2019-03-19,-0.0005204224079582431
2019-03-20,-0.0003481951085787527
2019-03-21,-0.0009168529192554731
2019-03-22,0.000797232881476706
2019-03-25,-0.0004937698722244921
2019-03-26,-0.00019859520267206943
2019-03-27,0.000633621316532551
2019-03-28,0.000501291983632024
2019-03-29,-0.00025752469956474844
2019-04-01,0.001700519913321763
2019-04-02,-0.0013218780840005273
2019-04-03,-0.0006386116975402034
2019-04-04,0.00044325477758611065
2019-04-05,-3.148037792066738e-05
2019-04-08,-0.0007433437479088534
2019-04-09,-0.00015628303009029842
2019-04-10,0.0006493644222616002
2019-04-11,0.0007648830905977455
2019-04-12,-0.0009705166465160397
2019-04-15,-0.00011916739555972722
2019-04-16,0.000863924190858123
2019-04-17,-0.0016971174691144952
2019-04-18,0.001330408197331101
2019-04-22,0.00032277259609392317
2019-04-23,-0.00018353964609463258
2019-04-24,-0.002389129710215876
2019-04-25,0.004324974384883662
2019-04-26,-0.0029509986364171237
2019-04-29,0.0002955261069141901
2019-04-30,-0.0011831993245458028
2019-05-01,0.0032050421240854554
2019-05-02,-0.0009378320120861927
2019-05-03,-0.0013362508006690144
2019-05-06,0.00033225054542151966
2019-05-07,-0.00010821678108940969
2019-05-08,0.00045381904555652497
2019-05-09,-0.001819455225487987
2019-05-10,0.0012347285612492875
2019-05-13,0.0023853910193549765
2019-05-14,-0.00309965258800593
2019-05-15,0.0010110661913924623
2019-05-16,0.00034128643695607863
2019-05-17,-0.00034671987981382824
2019-05-20,0.0010883201579323654
2019-05-21,-0.0009250172042440941
2019-05-22,4.1483684369847396e-06
2019-05-23,0.00046688991377386024
2019-05-24,-0.0017010235043904975
2019-05-28,0.0011971977144433765
2019-05-29,0.0008137997322275048
2019-05-30,-0.001753731117528523
2019-05-31,0.0008081668128219199
2019-06-03,0.001220395212095493
2019-06-04,-0.0005509801744332243
2019-06-05,-0.000802397137390165
2019-06-06,0.0011250048509634514
2019-06-07,-0.0011168725944429303
2019-06-10,0.0009249762643828152
2019-06-11,0.00019776008387317745
2019-06-12,-0.000712213439524656
2019-06-13,0.0014249857090529172
2019-06-14,-0.0025218699341614803
2019-06-17,0.0017602417048205865
2019-06-18,0.0002681427452511098
2019-06-19,-0.0002436927157222213
2019-06-20,2.185617072947288e-05
2019-06-21,0.0008838757244880036
2019-06-24,-0.003050783839967708
2019-06-25,0.0022005945797789472
