Pair: RCAT and SERV, Profit: 3088.7097666503496
Pair: LMB and PRIM, Profit: 3087.580220586079
Pair: APP and NFLX, Profit: 3084.747031062069
Pair: CNL and RPAY, Profit: 3077.0380120815453
Pair: NNE and SERV, Profit: 3066.18722357263
Pair: GOTU and XPEV, Profit: 3060.6630566871618
Pair: NNE and SOUN, Profit: 3051.110225571776
Pair: CLS and SMR, Profit: 3036.989776747583
Pair: CEG and LEU, Profit: 3010.0089367590194
Pair: QUBT and SOUN, Profit: 2996.8922152364266
Pair: QBTS and SERV, Profit: 2991.890429460251
Pair: CZNC and RBB, Profit: 2984.302750619058
Pair: BTBT and SOUN, Profit: 2976.4365912265234
Pair: KC and VNET, Profit: 2969.0739554259785
Pair: ANET and SMR, Profit: 2957.57855320785
Pair: EBTC and FSTR, Profit: 2939.225242289815
Pair: SOFI and SOUN, Profit: 2933.9846999139622
Pair: LTBR and SOFI, Profit: 2931.4063298533524
Pair: GSHD and OOMA, Profit: 2925.859381185322
Pair: BITF and BTBT, Profit: 2922.880546216144
Pair: CRAI and GIFI, Profit: 2917.221848729324
Pair: BBCP and MSGM, Profit: 2913.090472852163
Pair: LWAY and UFI, Profit: 2896.944079199605
Pair: GOOG and MARA, Profit: 2895.1460855231094
Pair: CIEN and HOOD, Profit: 2872.3147162921264
Pair: ACHR and SOUN, Profit: 2870.739648007092
Pair: SMR and TEM, Profit: 2860.9722551337427
Pair: AVGO and HOOD, Profit: 2857.22679972368
Pair: RXRX and SOFI, Profit: 2847.8604517849276
Pair: FSLR and SEDG, Profit: 2808.8831469010684
Pair: OKLO and RDW, Profit: 2806.2610877919315
Pair: NL and PNFPP, Profit: 2800.13165999753
Pair: CAN and WULF, Profit: 2790.995543303927
Pair: DAIO and HQL, Profit: 2787.219456019684
Pair: BILL and SKX, Profit: 2767.0343475161667
Pair: LAES and RGTI, Profit: 2753.557126713269
Pair: BFST and SMTI, Profit: 2738.3318853567457
Pair: GDS and KC, Profit: 2738.2595447038375
Pair: FSLR and RUN, Profit: 2727.905271101923
Pair: CLSK and JEF, Profit: 2727.6293436888727
Pair: NATR and TVC, Profit: 2726.325628486943
Pair: CLSK and GOOGL, Profit: 2716.349585456502
Pair: JHG and ZEO, Profit: 2709.7745791910193
Pair: BFAM and UFI, Profit: 2707.5463258312266
Pair: ASML and HOOD, Profit: 2704.1203882199975
Pair: HOOD and NFLX, Profit: 2698.406121286539
Pair: CLSK and GOOG, Profit: 2695.1961626999864
Pair: BHLB and MCBS, Profit: 2691.619127799816
Pair: AFRM and AXP, Profit: 2681.966255864784
Pair: ARM and CRDO, Profit: 2680.985664361865
Pair: HLMN and ZEO, Profit: 2677.097568275685
Pair: CRWD and OKLO, Profit: 2662.006625459865
Pair: CLSK and TSLA, Profit: 2653.7882679283484
Pair: KTCC and SIBN, Profit: 2650.081568231638
Pair: RGTI and SERV, Profit: 2646.033750433533
Pair: OKLO and UPST, Profit: 2643.5749592440557
Pair: AMZN and IONQ, Profit: 2640.9710782887905
Pair: HUT and TSLA, Profit: 2635.53105366715
Pair: CCSI and ZEO, Profit: 2633.221120057842
Pair: CMT and MRCC, Profit: 2624.872846240936
Pair: GOTU and TIGR, Profit: 2622.6765224570763
Pair: DXYZ and NFLX, Profit: 2621.3485082026173
Pair: ARM and CLSK, Profit: 2617.650485724528
Pair: ACA and DH, Profit: 2578.268804054298
Pair: DOCS and MPWR, Profit: 2570.6648370166113
Pair: BBAI and SMR, Profit: 2559.4496094805263
Pair: NVDA and SMR, Profit: 2543.7303754848263
Pair: META and TEM, Profit: 2532.8582358619665
Pair: GEV and UPST, Profit: 2526.740267059245
Pair: FN and IESC, Profit: 2524.6357682860003
Pair: ALAB and ARM, Profit: 2521.847306946738
Pair: CEG and TLN, Profit: 2511.467973688787
Pair: EH and FUTU, Profit: 2504.0106178698693
Pair: HUT and TSM, Profit: 2500.5423760469466
Pair: ETD and VHI, Profit: 2491.23652716092
Pair: RIOT and VST, Profit: 2490.938988499811
Pair: GOOGL and MARA, Profit: 2489.550164151056
Pair: LOGI and SYTA, Profit: 2477.7229534450303
Pair: GEV and OKLO, Profit: 2477.7029562305233
Pair: BITF and WULF, Profit: 2476.599281154579
Pair: ASTE and NOVT, Profit: 2458.8960793153137
Pair: DAIO and LXRX, Profit: 2457.575081793288
Pair: MARA and VRT, Profit: 2451.2612978904294
Pair: RIOT and TSLA, Profit: 2448.9705064418436
Pair: MPLN and TARS, Profit: 2448.4900223204518
Pair: AI and IONQ, Profit: 2445.1849249365714
Pair: COIN and HOOD, Profit: 2444.960544010297
Pair: SMR and VST, Profit: 2444.477366115124
Pair: APLD and NVDA, Profit: 2442.0907047105807
Pair: GDS and LI, Profit: 2435.783541424705
Pair: ATNI and DOYU, Profit: 2434.654237824214
Pair: AVBP and ELVN, Profit: 2432.154524305349
Pair: HOOD and VST, Profit: 2430.2379259980685
Pair: EFOI and GRAB, Profit: 2420.7456050022424
Pair: JOBY and VRT, Profit: 2419.2271958787296
Pair: FVCB and TBCH, Profit: 2412.032338005585
Pair: BTBT and QUBT, Profit: 2411.6063430556587
Pair: BMA and PAM, Profit: 2402.9371394643913
Pair: HOOD and NVDA, Profit: 2398.2690925041356
Pair: SOUN and WULF, Profit: 2391.9004842034306
Pair: CNL and WSR, Profit: 2388.1888510374683
Pair: AMD and TEM, Profit: 2387.6928377371246
Pair: BE and VST, Profit: 2384.423901196901
Pair: CMCL and MTVA, Profit: 2381.812068378456
Pair: HOOD and VRT, Profit: 2375.727527897302
Pair: HOOD and META, Profit: 2372.077317060613
Pair: KB and MTVA, Profit: 2369.4224326214226
Pair: BTBT and CAN, Profit: 2356.299145171753
Pair: IONQ and SERV, Profit: 2354.5048279963853
Pair: IONQ and RDW, Profit: 2348.05280067247
Pair: AIT and LMB, Profit: 2338.029977682572
Pair: SMTI and WMPN, Profit: 2337.4438564830307
Pair: SLSR and UFI, Profit: 2330.584269781445
Pair: OKLO and ORCL, Profit: 2330.495603592625
Pair: BILL and VRSN, Profit: 2328.7141416549794
Pair: HURN and RILYG, Profit: 2322.2510476881916
Pair: CLSK and MU, Profit: 2319.1406113812554
Pair: AGX and STRL, Profit: 2315.6380005246315
Pair: OKLO and TEM, Profit: 2310.1120521103257
Pair: NBIS and NVDA, Profit: 2306.355883808926
Pair: ARM and MARA, Profit: 2305.2078217477733
Pair: VST and WULF, Profit: 2290.4754018660046
Pair: HFWA and UNTY, Profit: 2289.986065179061
Pair: NGVT and ROCK, Profit: 2288.773591134651
Pair: APLD and TSLA, Profit: 2287.3640063942817
Pair: OOMA and UFPT, Profit: 2287.3371160516635
Pair: AGX and IESC, Profit: 2281.5964977259255
Pair: CDTX and HUBG, Profit: 2281.257868252731
